symbol,company_name,sector,index
CHD,Church & Dwight,Consumer Staples,RUSSELL1000
CHDN,Churchill Downs Incorporated,Consumer Discretionary,RUSSELL1000
CIEN,Ciena,Information Technology,RUSSELL1000
CI,Cigna,Health Care,RUSSELL1000
CINF,Cincinnati Financial,Financials,RUSSELL1000
CTAS,Cintas,Industrials,RUSSELL1000
CRUS,Cirrus Logic,Information Technology,RUSSELL1000
CSCO,Cisco,Information Technology,RUSSELL1000
C,Citigroup,Financials,RUSSELL1000
CFG,Citizens Financial Group,Financials,RUSSELL1000
CIVI,Civitas Resources,Energy,RUSSELL1000
CLVT,Clarivate,Industrials,RUSSELL1000
CLH,Clean Harbors,Industrials,RUSSELL1000
CWEN.A,Clearway Energy (Class A),Utilities,RUSSELL1000
CWEN,Clearway Energy (Class C),Utilities,RUSSELL1000
CLF,Cleveland-Cliffs,Materials,RUSSELL1000
CLX,Clorox,Consumer Staples,RUSSELL1000
NET,Cloudflare,Information Technology,RUSSELL1000
CME,CME Group,Financials,RUSSELL1000
CMS,CMS Energy,Utilities,RUSSELL1000
CNA,CNA Financial,Financials,RUSSELL1000
CNH,CNH Industrial,Industrials,RUSSELL1000
KO,Coca-Cola Company (The),Consumer Staples,RUSSELL1000
COKE,Coca-Cola Consolidated,Consumer Staples,RUSSELL1000
CGNX,Cognex Corporation,Information Technology,RUSSELL1000
CTSH,Cognizant,Information Technology,RUSSELL1000
COHR,Coherent Corp.,Information Technology,RUSSELL1000
COIN,Coinbase,Financials,RUSSELL1000
CL,Colgate-Palmolive,Consumer Staples,RUSSELL1000
COLB,Columbia Banking System,Financials,RUSSELL1000
COLM,Columbia Sportswear,Consumer Discretionary,RUSSELL1000
CMCSA,Comcast,Communication Services,RUSSELL1000
CMA,Comerica,Financials,RUSSELL1000
FIX,Comfort Systems USA,Industrials,RUSSELL1000
CBSH,Commerce Bancshares,Financials,RUSSELL1000
CAG,Conagra Brands,Consumer Staples,RUSSELL1000
CNXC,Concentrix,Information Technology,RUSSELL1000
